시설명,시설종류,도로명주소,어린이보호구역지정수,CCTV수,도로표지판수,과속방지턱수,어린이보행자사고건수
가곡초등학교,초등학교,서울특별시 강서구 공항대로36길 74 (마곡동),6,5,88,16,0
가양초등학교,초등학교,서울특별시 강서구 허준로 186 (가양동),5,7,111,16,0
강서유치원,유치원,서울특별시 강서구 까치산로18길 7-19 (화곡동),1,0,14,3,0
개화초등학교,초등학교,서울특별시 강서구 양천로 11 (방화동),3,5,65,6,0
곰달래어린이집,어린이집,서울특별시 강서구 곰달래로53길 30-20 (화곡동),1,1,4,2,0
공공직장어린이집,어린이집,서울특별시 강서구 강서로33가길 42 (화곡동),1,0,6,0,0
교남학교,특수학교,서울특별시 강서구 까치산로22길 38 (화곡동),1,1,13,5,0
구립까치산어린이집,어린이집,서울특별시 강서구 강서로12길 29-10 (화곡동),1,1,8,0,4
구립새하늘어린이집,어린이집,서울특별시 강서구 강서로17다길 15-14 (화곡동),1,1,9,1,0
구립아이솔어린이집,어린이집,서울특별시 강서구 개화동로27길 13 (방화동),1,1,10,3,0
국제유치원,유치원,서울특별시 강서구 양천로30길 4 (마곡동),1,2,11,5,0
금낭화유치원,유치원,서울특별시 강서구 금낭화로 35 (방화동),1,0,19,0,0
꿈을여는어린이집,어린이집,서울특별시 강서구 곰달래로53가길 6 (화곡동),1,1,6,0,0
내발산초등학교,초등학교,서울특별시 강서구 강서로46길 23 (내발산동),4,6,43,9,0
내발산초등학교병설유치원,유치원,서울특별시 강서구 강서로46길 23 (내발산동),0,0,0,0,0
눈높이이러닝센터,기타,서울특별시 강서구 초록마을로6길 6 (화곡동),0,0,0,0,0
대유유치원,유치원,서울특별시 강서구 곰달래로57길 39 (화곡동),1,2,12,7,0
동그라미유치원,유치원,서울특별시 강서구 화곡로52길 14 (화곡동),2,2,19,6,0
동산어린이집,어린이집,서울특별시 강서구 양천로75길 44 (염창동),1,1,6,4,0
등명초등학교,초등학교,서울특별시 강서구 강서로56나길 34 (등촌동),1,3,17,4,0
등서초등학교,초등학교,서울특별시 강서구 화곡로58길 86 (화곡동),6,5,114,7,0
등양초등학교,초등학교,서울특별시 강서구 강서로56나길 140 (등촌동),2,4,60,12,0
등원초등학교,초등학교,서울특별시 강서구 화곡로65길 90 (등촌동),2,5,49,6,1
등촌이화유치원,유치원,서울특별시 강서구 화곡로63가길 26 (등촌동),1,1,10,3,1
등촌제일유치원,유치원,서울특별시 강서구 화곡로66길 118 (등촌동),2,2,20,6,0
등촌초등학교,초등학교,서울특별시 강서구 등촌로39길 71 (등촌동),2,7,46,7,0
등현초등학교,초등학교,서울특별시 강서구 화곡로65길 124 (등촌동),3,1,55,4,1
리라어린이집,어린이집,서울특별시 강서구 초록마을로18길 36 (화곡동),2,0,5,0,0
미도유치원,유치원,서울특별시 강서구 공항대로58가길 39 (등촌동),2,4,11,3,0
발산어린이집,어린이집,서울특별시 강서구 우장산로 45 (내발산동),1,1,14,3,0
발산초등학교,초등학교,서울특별시 강서구 강서로45길 113 (내발산동),8,16,268,56,0
밤비니유치원,유치원,서울특별시 강서구 남부순환로7길 39 (공항동),1,2,8,1,0
방화이화유치원,유치원,서울특별시 강서구 양천로17길 4-55 (방화동),1,1,8,9,0
방화초등학교,초등학교,서울특별시 강서구 양천로6길 92 (방화동),4,3,57,23,1
배다리어린이집,어린이집,서울특별시 강서구 곰달래로15길 25 (화곡동),1,1,9,5,0
백석초등학교,초등학교,서울특별시 강서구 공항대로 491 (등촌동),6,5,106,25,0
버클리어린이집,어린이집,서울특별시 강서구 강서로47바길 21 (내발산동),2,2,12,4,0
별빛어린이집,어린이집,서울특별시 강서구 공항대로 447 (등촌동),1,0,0,0,0
보라유치원,유치원,"서울특별시 강서구 공항대로39길 100 (등촌동, 대림아파트)",1,2,11,3,2
사이언스파크어린이집,어린이집,서울특별시 강서구 마곡중앙10로 30 (마곡동),1,0,20,2,0
삼정초등학교,초등학교,서울특별시 강서구 금낭화로 222 (방화동),2,4,47,5,0
서울공진초등학교,초등학교,서울특별시 강서구 마곡서로 33 (마곡동),3,2,57,7,1
서울공진초병설유치원,유치원,서울특별시 강서구 마곡서로 33 (마곡동),0,0,0,0,1
서울공항초등학교,초등학교,서울특별시 강서구 마곡서1로 68 (마곡동),2,1,45,3,0
서울공항초등학교병설유치원,유치원,서울특별시 강서구 마곡서1로 68 (마곡동),0,0,0,0,0
서울등마초등학교,초등학교,서울특별시 강서구 등촌로35길 12 (등촌동),3,3,39,6,0
서울마곡유치원,유치원,서울특별시 강서구 마곡서1로 139-13 (마곡동),2,0,11,3,1
서울서진학교,특수학교,서울특별시 강서구 양천로55길 22 (가양동),0,0,0,0,1
서울수명초등학교,초등학교,서울특별시 강서구 수명로1길 84 (내발산동),5,1,98,4,0
서울염경초등학교,초등학교,서울특별시 강서구 양천로69길 49 (염창동),5,8,74,37,0
서울염경초등학교병설유치원,유치원,서울특별시 강서구 양천로69길 49 (염창동),0,0,0,0,0
서울화일초등학교,초등학교,서울특별시 강서구 까치산로10길 70 (화곡동),5,9,33,30,0
서울화일초등학교병설유치원,유치원,서울특별시 강서구 까치산로10길 70 (화곡동),0,0,0,0,0
선미유치원,유치원,서울특별시 강서구 까치산로2길 43 (화곡동),2,4,12,5,0
성산어린이집,어린이집,서울특별시 강서구 개화동로23길 111 (방화동),1,0,6,1,0
송정초등학교,초등학교,서울특별시 강서구 공항대로3길 18 (공항동),3,4,51,7,0
송화초등학교,초등학교,서울특별시 강서구 방화대로34길 2 (방화동),6,11,113,12,1
스터디플랜독서실,기타,서울특별시 강서구 곰달래로49길 80 (화곡동),0,0,0,0,2
신곡초등학교,초등학교,서울특별시 강서구 등촌로13자길 42-14 (화곡동),7,8,61,9,1
신세기유치원,유치원,"서울특별시 강서구 허준로 47 (가양동, 가양2단지아파트)",1,1,15,1,0
신영유치원,유치원,서울특별시 강서구 곰달래로25길 4 (화곡동),1,1,8,3,3
신원어린이집,어린이집,"서울특별시 강서구 양천로77길 45 (염창동, 무학아파트)",4,3,28,7,0
신월초등학교,초등학교,서울특별시 강서구 강서로31길 48 (화곡동),5,10,76,16,1
신정초등학교,초등학교,서울특별시 강서구 곰달래로31가길 27 (화곡동),6,11,87,27,4
양천초등학교,초등학교,서울특별시 강서구 양천로 329 (가양동),9,9,85,16,0
어린왕자어린이집,어린이집,서울특별시 강서구 강서로18가길 25 (화곡동),1,1,18,5,0
에반어린이집,어린이집,서울특별시 강서구 강서로12길 23-7 (화곡동),1,1,11,0,3
염동초등학교,초등학교,서울특별시 강서구 양천로73길 17 (염창동),5,6,59,24,0
염창초등학교,초등학교,서울특별시 강서구 양천로 646-28 (염창동),5,8,51,20,2
예은어린이집,어린이집,서울특별시 강서구 방화대로49길 52 (방화동),2,2,14,0,0
예일유치원,유치원,서울특별시 강서구 강서로47길 126 (내발산동),1,1,18,3,0
우일유치원,유치원,서울특별시 강서구 곰달래로47길 88 (화곡동),3,4,22,4,2
우장초등학교,초등학교,서울특별시 강서구 화곡로 263 (화곡동),7,6,95,8,3
우현유치원,유치원,"서울특별시 강서구 강서로 348 (내발산동, 우장산힐스테이트)",1,0,6,3,0
월정초등학교,초등학교,서울특별시 강서구 월정로 176 (화곡동),5,7,96,10,0
유석초등학교,초등학교,서울특별시 강서구 화곡로69길 9 (등촌동),1,3,20,4,0
윤서유치원,유치원,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오)",3,4,24,5,0
윤희유치원,유치원,서울특별시 강서구 강서로 216-23 (화곡동),1,1,11,5,0
은빛어린이집,어린이집,서울특별시 강서구 방화대로44길 49 (방화동),1,0,7,0,1
이레어린이집,어린이집,서울특별시 강서구 금낭화로11길 48 (방화동),2,1,10,1,1
송화초등학교,초등학교,서울특별시 강서구 방화대로34길 2 (방화동),6,11,113,12,1
스터디플랜독서실,기타,서울특별시 강서구 곰달래로49길 80 (화곡동),0,0,0,0,2
신곡초등학교,초등학교,서울특별시 강서구 등촌로13자길 42-14 (화곡동),7,8,61,9,1
신세기유치원,유치원,"서울특별시 강서구 허준로 47 (가양동, 가양2단지아파트)",1,1,15,1,0
정곡초등학교,초등학교,서울특별시 강서구 방화대로50길 22 (방화동),4,7,88,11,1
정곡초등학교병설유치원,유치원,서울특별시 강서구 방화대로50길 22 (방화동),0,0,0,0,1
치현초등학교,초등학교,서울특별시 강서구 방화대로47길 43 (방화동),2,3,51,7,0
큰나무어린이집,어린이집,서울특별시 강서구 마곡중앙8로1길 10 (마곡동),1,0,6,0,0
탑산초등학교,초등학교,서울특별시 강서구 허준로 109 (가양동),5,4,81,4,0
프란치스코어린이집,어린이집,서울특별시 강서구 송정로1길 13 (공항동),1,1,4,3,1
하늘마음어린이집,어린이집,"서울특별시 강서구 초록마을로 102 (화곡동, 다나네스트빌)",1,1,10,3,0
하늘숲어린이집,어린이집,서울특별시 강서구 강서로45다길 102 (화곡동),1,1,12,2,0
화곡초등학교,초등학교,서울특별시 강서구 초록마을로 28 (화곡동),6,6,69,18,0
